sku,name,category,price,cost,stock,description,attributes,compatibility,delivery_days,return_days,warranty
MOU-005,Glide Silent Mouse · Series 5,mice,1699,650,48,Light wireless office mouse with silent clicks.,"{""wireless"": true, ""weight_g"": 70}",[],4,7,1 year manufacturer warranty
LAP-005,Workstation Air 14 · Series 5,laptops,65399,45000,48,Portable office laptop with a 14-inch display and USB-C charging.,"{""ram_gb"": 16, ""storage_gb"": 512}",[],4,7,1 year manufacturer warranty
HDS-005,Studio Wired Reference · Series 5,headphones,5899,3200,48,Wired studio headphones for detailed sound.,"{""wireless"": false, ""weight_g"": 280}",[],4,7,1 year manufacturer warranty
M32-005,Viewpoint 32 QHD · Series 5,monitors,25399,16000,48,Large QHD productivity monitor with vivid IPS display.,"{""size_inches"": 32, ""resolution"": ""1440p""}",[],4,7,1 year manufacturer warranty
HUB-005,Dock Seven USB-C · Series 5,adapters,4399,2200,48,Seven port USB-C dock with HDMI and USB accessories.,"{""connector"": ""USB-C"", ""ports"": 7}","[""LAP-005""]",4,7,1 year manufacturer warranty
HDP-006,Airwave Pro Wireless · Series 6,headphones,7999,4600,45,Lightweight wireless headphones for gaming and office meetings. Clear microphone and long battery life.,"{""wireless"": true, ""battery_hours"": 40, ""weight_g"": 210, ""microphone"": true}",[],5,7,1 year manufacturer warranty
MON-006,Viewpoint 24 IPS · Series 6,monitors,12999,7800,45,Full HD IPS office monitor with HDMI and ergonomic stand.,"{""size_inches"": 24, ""resolution"": ""1080p"", ""refresh_hz"": 100}",[],5,7,1 year manufacturer warranty
KEY-006,Keycraft Mechanical · Series 6,keyboards,3999,1900,45,Compact wireless mechanical keyboard for office and gaming.,"{""wireless"": true, ""layout"": ""TKL""}",[],5,7,1 year manufacturer warranty
CHR-006,Volt 65W GaN · Series 6,chargers,2999,1200,45,Compact USB-C fast charger for laptops and devices.,"{""watts"": 65, ""connector"": ""USB-C""}","[""LAP-006""]",5,7,1 year manufacturer warranty
ADP-006,Link Bluetooth 5.3 · Series 6,adapters,999,200,45,Bluetooth adapter connects wireless headphones to an office PC.,"{""wireless"": true, ""connector"": ""USB-A""}","[""HDP-006""]",5,7,1 year manufacturer warranty
MOU-006,Glide Silent Mouse · Series 6,mice,1799,650,45,Light wireless office mouse with silent clicks.,"{""wireless"": true, ""weight_g"": 70}",[],5,7,1 year manufacturer warranty
LAP-006,Workstation Air 14 · Series 6,laptops,65499,45000,45,Portable office laptop with a 14-inch display and USB-C charging.,"{""ram_gb"": 16, ""storage_gb"": 512}",[],5,7,1 year manufacturer warranty
HDS-006,Studio Wired Reference · Series 6,headphones,5999,3200,45,Wired studio headphones for detailed sound.,"{""wireless"": false, ""weight_g"": 280}",[],5,7,1 year manufacturer warranty
M32-006,Viewpoint 32 QHD · Series 6,monitors,25499,16000,45,Large QHD productivity monitor with vivid IPS display.,"{""size_inches"": 32, ""resolution"": ""1440p""}",[],5,7,1 year manufacturer warranty
HUB-006,Dock Seven USB-C · Series 6,adapters,4499,2200,45,Seven port USB-C dock with HDMI and USB accessories.,"{""connector"": ""USB-C"", ""ports"": 7}","[""LAP-006""]",5,7,1 year manufacturer warranty
HDP-007,Airwave Pro Wireless · Series 7,headphones,8099,4600,42,Lightweight wireless headphones for gaming and office meetings. Clear microphone and long battery life.,"{""wireless"": true, ""battery_hours"": 40, ""weight_g"": 210, ""microphone"": true}",[],3,7,1 year manufacturer warranty
MON-007,Viewpoint 24 IPS · Series 7,monitors,13099,7800,42,Full HD IPS office monitor with HDMI and ergonomic stand.,"{""size_inches"": 24, ""resolution"": ""1080p"", ""refresh_hz"": 100}",[],3,7,1 year manufacturer warranty
KEY-007,Keycraft Mechanical · Series 7,keyboards,4099,1900,42,Compact wireless mechanical keyboard for office and gaming.,"{""wireless"": true, ""layout"": ""TKL""}",[],3,7,1 year manufacturer warranty
CHR-007,Volt 65W GaN · Series 7,chargers,3099,1200,42,Compact USB-C fast charger for laptops and devices.,"{""watts"": 65, ""connector"": ""USB-C""}","[""LAP-007""]",3,7,1 year manufacturer warranty
ADP-007,Link Bluetooth 5.3 · Series 7,adapters,1099,200,42,Bluetooth adapter connects wireless headphones to an office PC.,"{""wireless"": true, ""connector"": ""USB-A""}","[""HDP-007""]",3,7,1 year manufacturer warranty
MOU-007,Glide Silent Mouse · Series 7,mice,1899,650,42,Light wireless office mouse with silent clicks.,"{""wireless"": true, ""weight_g"": 70}",[],3,7,1 year manufacturer warranty
LAP-007,Workstation Air 14 · Series 7,laptops,65599,45000,42,Portable office laptop with a 14-inch display and USB-C charging.,"{""ram_gb"": 16, ""storage_gb"": 512}",[],3,7,1 year manufacturer warranty
HDS-007,Studio Wired Reference · Series 7,headphones,6099,3200,42,Wired studio headphones for detailed sound.,"{""wireless"": false, ""weight_g"": 280}",[],3,7,1 year manufacturer warranty
M32-007,Viewpoint 32 QHD · Series 7,monitors,25599,16000,42,Large QHD productivity monitor with vivid IPS display.,"{""size_inches"": 32, ""resolution"": ""1440p""}",[],3,7,1 year manufacturer warranty
HUB-007,Dock Seven USB-C · Series 7,adapters,4599,2200,42,Seven port USB-C dock with HDMI and USB accessories.,"{""connector"": ""USB-C"", ""ports"": 7}","[""LAP-007""]",3,7,1 year manufacturer warranty
HDP-008,Airwave Pro Wireless · Series 8,headphones,8199,4600,39,Lightweight wireless headphones for gaming and office meetings. Clear microphone and long battery life.,"{""wireless"": true, ""battery_hours"": 40, ""weight_g"": 210, ""microphone"": true}",[],4,7,1 year manufacturer warranty
MON-008,Viewpoint 24 IPS · Series 8,monitors,13199,7800,39,Full HD IPS office monitor with HDMI and ergonomic stand.,"{""size_inches"": 24, ""resolution"": ""1080p"", ""refresh_hz"": 100}",[],4,7,1 year manufacturer warranty
KEY-008,Keycraft Mechanical · Series 8,keyboards,4199,1900,39,Compact wireless mechanical keyboard for office and gaming.,"{""wireless"": true, ""layout"": ""TKL""}",[],4,7,1 year manufacturer warranty
CHR-008,Volt 65W GaN · Series 8,chargers,3199,1200,39,Compact USB-C fast charger for laptops and devices.,"{""watts"": 65, ""connector"": ""USB-C""}","[""LAP-008""]",4,7,1 year manufacturer warranty
ADP-008,Link Bluetooth 5.3 · Series 8,adapters,1199,200,39,Bluetooth adapter connects wireless headphones to an office PC.,"{""wireless"": true, ""connector"": ""USB-A""}","[""HDP-008""]",4,7,1 year manufacturer warranty
MOU-008,Glide Silent Mouse · Series 8,mice,1999,650,39,Light wireless office mouse with silent clicks.,"{""wireless"": true, ""weight_g"": 70}",[],4,7,1 year manufacturer warranty
LAP-008,Workstation Air 14 · Series 8,laptops,65699,45000,39,Portable office laptop with a 14-inch display and USB-C charging.,"{""ram_gb"": 16, ""storage_gb"": 512}",[],4,7,1 year manufacturer warranty
HDS-008,Studio Wired Reference · Series 8,headphones,6199,3200,39,Wired studio headphones for detailed sound.,"{""wireless"": false, ""weight_g"": 280}",[],4,7,1 year manufacturer warranty
M32-008,Viewpoint 32 QHD · Series 8,monitors,25699,16000,39,Large QHD productivity monitor with vivid IPS display.,"{""size_inches"": 32, ""resolution"": ""1440p""}",[],4,7,1 year manufacturer warranty
HUB-008,Dock Seven USB-C · Series 8,adapters,4699,2200,39,Seven port USB-C dock with HDMI and USB accessories.,"{""connector"": ""USB-C"", ""ports"": 7}","[""LAP-008""]",4,7,1 year manufacturer warranty
HDP-009,Airwave Pro Wireless · Series 9,headphones,8299,4600,36,Lightweight wireless headphones for gaming and office meetings. Clear microphone and long battery life.,"{""wireless"": true, ""battery_hours"": 40, ""weight_g"": 210, ""microphone"": true}",[],5,7,1 year manufacturer warranty
MON-009,Viewpoint 24 IPS · Series 9,monitors,13299,7800,36,Full HD IPS office monitor with HDMI and ergonomic stand.,"{""size_inches"": 24, ""resolution"": ""1080p"", ""refresh_hz"": 100}",[],5,7,1 year manufacturer warranty
KEY-009,Keycraft Mechanical · Series 9,keyboards,4299,1900,36,Compact wireless mechanical keyboard for office and gaming.,"{""wireless"": true, ""layout"": ""TKL""}",[],5,7,1 year manufacturer warranty
CHR-009,Volt 65W GaN · Series 9,chargers,3299,1200,36,Compact USB-C fast charger for laptops and devices.,"{""watts"": 65, ""connector"": ""USB-C""}","[""LAP-009""]",5,7,1 year manufacturer warranty
ADP-009,Link Bluetooth 5.3 · Series 9,adapters,1299,200,36,Bluetooth adapter connects wireless headphones to an office PC.,"{""wireless"": true, ""connector"": ""USB-A""}","[""HDP-009""]",5,7,1 year manufacturer warranty
MOU-009,Glide Silent Mouse · Series 9,mice,2099,650,36,Light wireless office mouse with silent clicks.,"{""wireless"": true, ""weight_g"": 70}",[],5,7,1 year manufacturer warranty
LAP-009,Workstation Air 14 · Series 9,laptops,65799,45000,36,Portable office laptop with a 14-inch display and USB-C charging.,"{""ram_gb"": 16, ""storage_gb"": 512}",[],5,7,1 year manufacturer warranty
HDS-009,Studio Wired Reference · Series 9,headphones,6299,3200,36,Wired studio headphones for detailed sound.,"{""wireless"": false, ""weight_g"": 280}",[],5,7,1 year manufacturer warranty
M32-009,Viewpoint 32 QHD · Series 9,monitors,25799,16000,36,Large QHD productivity monitor with vivid IPS display.,"{""size_inches"": 32, ""resolution"": ""1440p""}",[],5,7,1 year manufacturer warranty
HUB-009,Dock Seven USB-C · Series 9,adapters,4799,2200,36,Seven port USB-C dock with HDMI and USB accessories.,"{""connector"": ""USB-C"", ""ports"": 7}","[""LAP-009""]",5,7,1 year manufacturer warranty
HDP-010,Airwave Pro Wireless · Series 10,headphones,8399,4600,0,Lightweight wireless headphones for gaming and office meetings. Clear microphone and long battery life.,"{""wireless"": true, ""battery_hours"": 40, ""weight_g"": 210, ""microphone"": true}",[],3,7,1 year manufacturer warranty
MON-010,Viewpoint 24 IPS · Series 10,monitors,13399,7800,0,Full HD IPS office monitor with HDMI and ergonomic stand.,"{""size_inches"": 24, ""resolution"": ""1080p"", ""refresh_hz"": 100}",[],3,7,1 year manufacturer warranty
KEY-010,Keycraft Mechanical · Series 10,keyboards,4399,1900,0,Compact wireless mechanical keyboard for office and gaming.,"{""wireless"": true, ""layout"": ""TKL""}",[],3,7,1 year manufacturer warranty
CHR-010,Volt 65W GaN · Series 10,chargers,3399,1200,0,Compact USB-C fast charger for laptops and devices.,"{""watts"": 65, ""connector"": ""USB-C""}","[""LAP-010""]",3,7,1 year manufacturer warranty
ADP-010,Link Bluetooth 5.3 · Series 10,adapters,1399,200,0,Bluetooth adapter connects wireless headphones to an office PC.,"{""wireless"": true, ""connector"": ""USB-A""}","[""HDP-010""]",3,7,1 year manufacturer warranty
MOU-010,Glide Silent Mouse · Series 10,mice,2199,650,0,Light wireless office mouse with silent clicks.,"{""wireless"": true, ""weight_g"": 70}",[],3,7,1 year manufacturer warranty
LAP-010,Workstation Air 14 · Series 10,laptops,65899,45000,0,Portable office laptop with a 14-inch display and USB-C charging.,"{""ram_gb"": 16, ""storage_gb"": 512}",[],3,7,1 year manufacturer warranty
HDS-010,Studio Wired Reference · Series 10,headphones,6399,3200,0,Wired studio headphones for detailed sound.,"{""wireless"": false, ""weight_g"": 280}",[],3,7,1 year manufacturer warranty
M32-010,Viewpoint 32 QHD · Series 10,monitors,25899,16000,0,Large QHD productivity monitor with vivid IPS display.,"{""size_inches"": 32, ""resolution"": ""1440p""}",[],3,7,1 year manufacturer warranty
HUB-010,Dock Seven USB-C · Series 10,adapters,4899,2200,0,Seven port USB-C dock with HDMI and USB accessories.,"{""connector"": ""USB-C"", ""ports"": 7}","[""LAP-010""]",3,7,1 year manufacturer warranty
